date,congestion_index,traffic_volume,average_speed,is_outlier,year,month,day,dayofweek,is_weekend,is_holiday,season
2019-05-05,61.386776042531984,2807.000047408216,21.88258207405591,False,2019,5,5,6,1,0,dry
2019-05-06,69.31153292323626,2852.5226484715777,19.718772908366514,False,2019,5,6,0,0,0,dry
2019-05-07,53.310860361585654,2431.668119210746,23.3874408044215,False,2019,5,7,1,0,0,dry
2019-05-08,55.3338918664453,2923.969078248998,23.58671349643141,False,2019,5,8,2,0,0,dry
2019-05-09,58.56305628864765,2645.3317735595956,25.575983113454168,False,2019,5,9,3,0,0,dry
2019-05-10,55.44445036724516,2768.2134615318946,22.343489165808535,False,2019,5,10,4,0,0,dry
2019-05-11,50.10318139545648,3058.1390821746995,25.34778469346055,False,2019,5,11,5,1,0,dry
2019-05-12,58.09165528770055,2911.8330755832185,29.484428008307198,False,2019,5,12,6,1,0,dry
2019-05-13,52.327367559274904,2675.4604542559964,25.993021935037287,False,2019,5,13,0,0,0,dry
2019-05-14,59.894630428495994,2547.5616031765453,23.271718631027195,False,2019,5,14,1,0,0,dry
2019-05-15,52.81509893731695,2292.003522988718,22.737949011164805,False,2019,5,15,2,0,0,dry
2019-05-16,65.04524756595258,2575.0366023774623,22.09078638121428,False,2019,5,16,3,0,0,dry
2019-05-17,53.260502675078435,2673.0770263372497,26.578160481387712,False,2019,5,17,4,0,0,dry
2019-05-18,55.445528520043396,2514.2391776019167,21.031792879501495,False,2019,5,18,5,1,0,dry
2019-05-19,61.000398355718126,2681.7329746476325,22.92899663146134,False,2019,5,19,6,1,0,dry
2019-05-20,50.65341251260038,2719.6023994348584,22.828652989507468,False,2019,5,20,0,0,0,dry
2019-05-21,57.817938315155985,2655.4479629024445,21.053608022851797,False,2019,5,21,1,0,0,dry
2019-05-22,63.087277343503,2566.546390998034,18.327670215620895,False,2019,5,22,2,0,0,dry
2019-05-23,48.3831309595595,2726.3473483643147,23.302335317851416,False,2019,5,23,3,0,0,dry
2019-05-24,57.21079743861986,2777.016974292632,22.04101661469758,False,2019,5,24,4,0,0,dry
2019-05-25,57.452259970875396,2466.505564500429,23.617670850004455,False,2019,5,25,5,1,0,dry
2019-05-26,59.92535499113577,2962.6736949167307,20.41140535181885,False,2019,5,26,6,1,0,dry
2019-05-27,49.69309896853432,2656.6179492308893,25.57229395268967,False,2019,5,27,0,0,0,dry
2019-05-28,49.13543961362186,2675.901604960267,19.179529789683663,False,2019,5,28,1,0,0,dry
2019-05-29,58.20560045218625,2809.5196633743644,26.84841998030864,False,2019,5,29,2,0,0,dry
2019-05-30,56.93732775157244,2710.215357814896,16.374293418337473,False,2019,5,30,3,0,0,dry
2019-05-31,56.55976473334872,2849.846341231229,22.82890096474236,False,2019,5,31,4,0,0,dry
2019-06-01,56.892864957643404,2712.2435503451206,22.860782088569835,False,2019,6,1,5,1,0,rainy
2019-06-02,51.61229452656531,2527.885069105645,18.960256252545292,False,2019,6,2,6,1,0,rainy
2019-06-03,56.02399555689192,2718.1825171738274,22.535110777472227,False,2019,6,3,0,0,0,rainy
2019-06-04,56.17695744323205,2412.6026108380265,25.018075759721942,False,2019,6,4,1,0,0,rainy
2019-06-05,50.98730984495275,2658.483949207842,14.449267717591042,False,2019,6,5,2,0,0,rainy
2019-06-06,63.73406039922873,2625.509637176256,22.530800487130108,False,2019,6,6,3,0,0,rainy
2019-06-07,56.61916800425448,2585.8767305363585,13.468255640095794,False,2019,6,7,4,0,0,rainy
2019-06-08,48.13704210214297,2597.0992853569,17.979258009723104,False,2019,6,8,5,1,0,rainy
2019-06-09,57.218670809733815,2241.7072738974125,25.69463939751673,False,2019,6,9,6,1,0,rainy
2019-06-10,48.90367130090304,2503.567408012997,18.99540612788534,False,2019,6,10,0,0,0,rainy
2019-06-11,57.55256032600994,2627.0830994471535,17.155467975027946,False,2019,6,11,1,0,0,rainy
2019-06-12,59.24910102174435,2635.6549722007003,20.022412895637316,False,2019,6,12,2,0,0,rainy
2019-06-13,49.19067323048675,2393.2875164821676,26.76184392614866,False,2019,6,13,3,0,0,rainy
2019-06-14,57.94795105557988,2847.073680453688,15.007774830467607,False,2019,6,14,4,0,0,rainy
2019-06-15,55.0310328274174,2415.778876139147,17.296402716529418,False,2019,6,15,5,1,0,rainy
2019-06-16,56.912607551964605,2777.960642665112,24.89296815294143,False,2019,6,16,6,1,0,rainy
2019-06-17,62.12061984054981,2664.538520192739,25.926965273700763,False,2019,6,17,0,0,0,rainy
2019-06-18,51.243281224795005,2444.86119217552,19.999608069885088,False,2019,6,18,1,0,0,rainy
2019-06-19,48.534375880518674,2924.153879591086,16.551658520087454,False,2019,6,19,2,0,0,rainy
2019-06-20,47.68763700627035,2325.3289082806427,26.51814557765566,False,2019,6,20,3,0,0,rainy
2019-06-21,47.887677473108575,2742.8327016600733,24.978635571631273,False,2019,6,21,4,0,0,rainy
2019-06-22,51.4121573101851,2754.046439326264,22.199748025550605,False,2019,6,22,5,1,0,rainy
2019-06-23,53.33383000346839,2414.718062066226,17.696213624271167,False,2019,6,23,6,1,0,rainy
2019-06-24,52.84144596584885,2822.2328190888284,19.95976993778223,False,2019,6,24,0,0,0,rainy
2019-06-25,55.423398019705935,2488.615150315984,19.60214655787261,False,2019,6,25,1,0,0,rainy
2019-06-26,51.18159953060649,2591.23642799248,21.055088109484956,False,2019,6,26,2,0,0,rainy
2019-06-27,58.21303788395858,2580.4253926994043,24.397790590249258,False,2019,6,27,3,0,0,rainy
2019-06-28,49.45058062614485,2496.3541954759294,22.66823942416206,False,2019,6,28,4,0,0,rainy
2019-06-29,64.20297860660602,2680.2256378416946,16.78601642432714,False,2019,6,29,5,1,0,rainy
2019-06-30,53.55855906887034,2671.604414011802,24.138748199036314,False,2019,6,30,6,1,0,rainy
2019-07-01,45.97239662018992,2158.0391374205037,20.942729934934352,False,2019,7,1,0,0,0,rainy
2019-07-02,44.731607478581324,2763.450147642237,22.061567796414092,False,2019,7,2,1,0,0,rainy
2019-07-03,52.326292107329046,2164.9195033262586,24.399992986673155,False,2019,7,3,2,0,0,rainy
2019-07-04,48.624501671099424,2698.7637088001916,16.668592766354234,False,2019,7,4,3,0,0,rainy
2019-07-05,53.139780140415155,2712.4343574641575,19.901782112858314,False,2019,7,5,4,0,0,rainy
2019-07-06,51.7640553492098,2263.7427307472226,18.423781001203768,False,2019,7,6,5,1,0,rainy
2019-07-07,48.861990644381,2394.621198639044,15.326410024653482,False,2019,7,7,6,1,0,rainy
2019-07-08,44.82066391148599,2250.498041357653,21.08491620867001,False,2019,7,8,0,0,0,rainy
2019-07-09,41.30917380535373,2423.5180918057445,27.597203850391487,False,2019,7,9,1,0,0,rainy
2019-07-10,46.47994346513909,2399.7686899270775,14.562993567489842,False,2019,7,10,2,0,0,rainy
2019-07-11,52.82400200241862,2612.1923473779057,20.010016127147928,False,2019,7,11,3,0,0,rainy
2019-07-12,49.44239859126586,2713.2196453423667,22.055049476307747,False,2019,7,12,4,0,0,rainy
2019-07-13,41.973640249184434,2725.2067864403225,20.532141667232445,False,2019,7,13,5,1,0,rainy
2019-07-14,48.89917573132015,2328.564527746267,19.855924238836458,False,2019,7,14,6,1,0,rainy
2019-07-15,49.791377744246226,2394.0993506191558,16.33296598189071,False,2019,7,15,0,0,0,rainy
2019-07-16,43.27765611668821,2094.2206604866265,20.96717685648787,False,2019,7,16,1,0,0,rainy
2019-07-17,48.29840372491828,2264.7193325564817,18.039609811708157,False,2019,7,17,2,0,0,rainy
2019-07-18,47.65438866494993,2613.8706788010895,13.784093128151905,False,2019,7,18,3,0,0,rainy
2019-07-19,41.48284175885472,2739.0473621498813,23.984449764943747,False,2019,7,19,4,0,0,rainy
2019-07-20,48.82180860900651,2164.1163798419684,23.325489910973573,False,2019,7,20,5,1,0,rainy
2019-07-21,49.67285222248291,2287.5750358886735,20.65780450263892,False,2019,7,21,6,1,0,rainy
2019-07-22,52.12117139363108,2395.8963039408554,21.245348976275114,False,2019,7,22,0,0,0,rainy
2019-07-23,51.812887133467186,2452.348537962701,23.839180120738042,False,2019,7,23,1,0,0,rainy
2019-07-24,39.49451585291687,2229.5651767967406,21.350126838589112,False,2019,7,24,2,0,0,rainy
2019-07-25,41.53379514838474,2471.4998193316287,23.452804892345448,False,2019,7,25,3,0,0,rainy
2019-07-26,48.63927356947863,2287.1550475888766,19.914693700192345,False,2019,7,26,4,0,0,rainy
2019-07-27,48.475370166404836,2374.3027581796578,24.812203636014566,False,2019,7,27,5,1,0,rainy
2019-07-28,48.3252350318347,2481.7567476098734,21.910425278884073,False,2019,7,28,6,1,0,rainy
2019-07-29,64.85846960976865,2369.1288186570387,21.604721895475286,False,2019,7,29,0,0,0,rainy
2019-07-30,48.295385618381246,2275.9508138421484,17.289540969517137,False,2019,7,30,1,0,0,rainy
2019-07-31,50.966233124164354,2336.730186912675,22.040387313346592,False,2019,7,31,2,0,0,rainy
2019-08-01,49.90728174637911,2336.445596026326,18.76606421140584,False,2019,8,1,3,0,0,rainy
2019-08-02,48.24453812207123,2275.625249989842,19.432079276782456,False,2019,8,2,4,0,0,rainy
2019-08-03,43.26302986663975,2293.4220701618237,18.9883631560416,False,2019,8,3,5,1,0,rainy
2019-08-04,48.48754562084701,2660.5104196523635,18.32588597537401,False,2019,8,4,6,1,0,rainy
2019-08-05,40.68346954190563,2448.6117580260525,27.991517156873144,False,2019,8,5,0,0,0,rainy
2019-08-06,43.22001434219819,2273.027157671115,25.70631631422017,False,2019,8,6,1,0,0,rainy
2019-08-07,41.835459581811236,2467.25920053085,27.570953639751984,False,2019,8,7,2,0,0,rainy
2019-08-08,44.53151817400688,2256.900526361056,18.241144997583834,False,2019,8,8,3,0,0,rainy
2019-08-09,55.55705220111831,2554.137708549851,22.225967520869027,False,2019,8,9,4,0,0,rainy
2019-08-10,34.51082803740798,2389.3430584506204,18.236426566082457,False,2019,8,10,5,1,0,rainy
2019-08-11,47.14367280591422,2289.910726820404,20.136943898672538,False,2019,8,11,6,1,0,rainy
2019-08-12,35.51587351168611,2396.9269711910865,19.57903085674868,False,2019,8,12,0,0,0,rainy
2019-08-13,41.088777098961984,1989.2778624235748,26.16381887859788,False,2019,8,13,1,0,0,rainy
2019-08-14,48.7641143427015,2074.227346953979,21.370271566981113,False,2019,8,14,2,0,0,rainy
2019-08-15,43.513666000707154,2056.982975877084,25.880197284946256,False,2019,8,15,3,0,0,rainy
2019-08-16,37.678463841483705,2320.604250886648,24.60569117322694,False,2019,8,16,4,0,0,rainy
2019-08-17,39.36764535262839,2634.827916864865,29.824649473669766,False,2019,8,17,5,1,0,rainy
2019-08-18,46.22121960791376,2730.956955135738,18.597905074612104,False,2019,8,18,6,1,0,rainy
2019-08-19,39.052591300549444,2408.742954062205,26.93850550311429,False,2019,8,19,0,0,0,rainy
2019-08-20,43.67007283942392,2377.8022917343123,26.726723035526867,False,2019,8,20,1,0,0,rainy
2019-08-21,42.70119092419898,1913.9884049098496,20.495847638938407,False,2019,8,21,2,0,0,rainy
2019-08-22,39.10311213406548,2162.298656216033,26.56791887712398,False,2019,8,22,3,0,0,rainy
2019-08-23,52.97088003295622,2109.97803720824,24.687400777205198,False,2019,8,23,4,0,0,rainy
2019-08-24,45.31309656080291,2140.135523826162,23.130857187514742,False,2019,8,24,5,1,0,rainy
2019-08-25,31.912458428885813,2227.5163771482576,21.477632842595504,False,2019,8,25,6,1,0,rainy
2019-08-26,42.86747211063769,2163.637900564291,21.93005719701666,False,2019,8,26,0,0,0,rainy
2019-08-27,38.525687161698905,1859.178622491068,30.3765201218405,False,2019,8,27,1,0,0,rainy
2019-08-28,45.998624686742026,2401.675791606334,24.37054121412326,False,2019,8,28,2,0,0,rainy
2019-08-29,37.67814151365013,2034.6737510264477,26.85796042174718,False,2019,8,29,3,0,0,rainy
2019-08-30,40.973827219134876,2294.2746556163106,22.283576272187556,False,2019,8,30,4,0,0,rainy
2019-08-31,43.981714697404016,2658.5198830250465,22.463003039779924,False,2019,8,31,5,1,0,rainy
2019-09-01,45.697354690351496,2057.180443267742,28.196343880534624,False,2019,9,1,6,1,0,rainy
2019-09-02,35.2814547776279,1732.4305998379373,21.05098470105481,False,2019,9,2,0,0,0,rainy
2019-09-03,39.5273717810599,2178.795494431917,24.004847975613686,False,2019,9,3,1,0,0,rainy
2019-09-04,38.74470021790029,2453.7747302108664,25.50475483869565,False,2019,9,4,2,0,0,rainy
2019-09-05,37.77496092978235,2622.917703623646,25.890336024474024,False,2019,9,5,3,0,0,rainy
2019-09-06,49.79371317815864,1983.0833404121113,25.17380076582669,False,2019,9,6,4,0,0,rainy
2019-09-07,42.91886225386261,2326.1584556190396,27.054673265458725,False,2019,9,7,5,1,0,rainy
2019-09-08,34.51974396773084,2131.6628208261714,28.103139124627866,False,2019,9,8,6,1,0,rainy
2019-09-09,45.346402513342944,2201.523112481245,28.387020433711402,False,2019,9,9,0,0,0,rainy
2019-09-10,51.30354167468337,2749.651490092013,23.385363339023826,False,2019,9,10,1,0,0,rainy
2019-09-11,45.79351283980142,1918.34153043234,25.651060153701327,False,2019,9,11,2,0,0,rainy
2019-09-12,32.97553873632573,2267.9195892817884,30.24960079644894,False,2019,9,12,3,0,0,rainy
2019-09-13,38.09521383554703,2309.0301603494354,29.512028676830557,False,2019,9,13,4,0,0,rainy
2019-09-14,46.79774577962866,2431.0529659987355,22.87322356920013,False,2019,9,14,5,1,0,rainy
2019-09-15,36.87447450203313,2231.9812855979903,28.210847828246568,False,2019,9,15,6,1,0,rainy
2019-09-16,42.584391655089654,2272.5689433315756,21.38718120025382,False,2019,9,16,0,0,0,rainy
2019-09-17,44.193792436906044,2131.2889516084224,27.62890406733291,False,2019,9,17,1,0,0,rainy
2019-09-18,35.64416567581897,2262.1899292603034,33.348387154533825,False,2019,9,18,2,0,0,rainy
2019-09-19,39.942267713367315,2138.5583797108075,24.97908954422772,False,2019,9,19,3,0,0,rainy
2019-09-20,23.997526383199737,2330.4302704775628,25.4881253122189,True,2019,9,20,4,0,0,rainy
2019-09-21,35.04879627352873,2131.1999671972785,30.452105828141782,False,2019,9,21,5,1,0,rainy
2019-09-22,38.87767774339589,2279.6356337912885,23.70107919934987,False,2019,9,22,6,1,0,rainy
2019-09-23,33.87430818785234,2197.544160193302,26.60118092689836,False,2019,9,23,0,0,0,rainy
2019-09-24,48.250915879723635,2427.8758309563973,30.459176347403293,False,2019,9,24,1,0,0,rainy
2019-09-25,32.916724617522696,2191.744200502078,26.937796460976784,False,2019,9,25,2,0,0,rainy
2019-09-26,37.84872445550811,1846.8619130284146,28.303888651038363,False,2019,9,26,3,0,0,rainy
2019-09-27,40.68711386888876,2453.386629616547,31.415793177640875,False,2019,9,27,4,0,0,rainy
2019-09-28,47.22719483667666,2019.4783915678586,30.619553756116524,False,2019,9,28,5,1,0,rainy
2019-09-29,32.83189208825247,2069.582817594726,30.327241305661886,False,2019,9,29,6,1,0,rainy
2019-09-30,45.82035595390122,2081.0038569850944,28.6814301137208,False,2019,9,30,0,0,0,rainy
2019-10-01,40.05199871855056,2474.912621037742,30.981080385056778,False,2019,10,1,1,0,0,rainy
2019-10-02,35.09254934739835,1772.8679352834038,29.671837342663167,False,2019,10,2,2,0,0,rainy
2019-10-03,42.31283235151744,2827.6191561380315,31.58857780413958,False,2019,10,3,3,0,0,rainy
2019-10-04,41.00279836547052,2411.4363584413054,28.896426733567807,False,2019,10,4,4,0,0,rainy
